emp_to_pop, cert, female_par, ogc_fid, median11, male_less_, male_part_, y12, uni, part_rate, ssc_name, ssc2011
0.59845,0.319566,0.596367,66,29920.22222,0.181802,0.778169,0.614868,0.065565,0.681498,"Ashmont",10066
0.0,0.25,0.0,2287,39468.0,0.0,0.0,0.697674,0.052326,0.0,"Tomago",12287
0.536688,0.336134,0.587678,2288,27360.34568,0.099822,0.6875,0.548319,0.115546,0.636156,"Tomakin",12288
0.683453,0.438061,0.704981,2289,33345.1831,0.114627,0.819608,0.409336,0.152603,0.764933,"Tomerong",12289
0.0,0.313433,0.0,2290,33595.05882,0.0,0.0,0.577114,0.109453,0.0,"Tomingley",12290
0.725275,0.355191,0.727273,4484,56328.43478,0.158955,0.886228,0.527322,0.117486,0.810241,"Campwin Beach",30308
0.0,0.0,0.0,4485,0.0,0.0,0.0,0.0,0.0,0.0,"Cania",30309
0.638075,0.311498,0.596067,72,32381.89831,0.248813,0.84488,0.609059,0.079443,0.721719,"Austral",10072
0.76374,0.341964,0.748945,73,51612.82505,0.140288,0.889233,0.315357,0.342679,0.816139,"Avalon (NSW)",10073
0.710145,0.438257,0.702326,92,40078.43478,0.131899,0.834225,0.409201,0.152542,0.763092,"Balmoral (Lake Macquarie - NSW)",10092
0.797235,0.382883,0.813725,93,43033.71429,0.065904,0.87963,0.432432,0.184685,0.84434,"Balmoral (Wingecarribee - NSW)",10093
0.706085,0.24424,0.701754,94,30161.13869,0.173246,0.875,0.670507,0.085253,0.788889,"Balranald",10094
0.0,0.344371,0.0,95,24057.09091,0.0,0.0,0.536424,0.119205,0.0,"Bandon Grove",10095
0.757785,0.388144,0.763135,74,45262.28571,0.11545,0.878585,0.31415,0.297707,0.817852,"Avoca Beach",10074
0.0,0.407821,0.0,75,32138.47619,0.0,0.0,0.49162,0.100559,0.0,"Awaba",10075
0.0,0.379845,0.0,76,34158.52632,0.0,0.0,0.426357,0.193798,0.0,"Aylmerton",10076
0.754045,0.292763,0.742857,77,32968.0,0.136124,0.878981,0.572368,0.134868,0.800676,"Baan Baa",10077
0.0,0.391026,0.0,78,28836.88889,0.0,0.0,0.532051,0.076923,0.0,"Backmede",10078
0.546939,0.206612,0.553398,79,27936.23529,0.317889,0.871287,0.768595,0.024793,0.705882,"Badgerys Creek",10079
0.630072,0.380723,0.618357,82,34467.14894,0.191899,0.810256,0.426506,0.192771,0.710074,"Balcolyn",10082
0.0,0.421384,0.0,83,31948.0,0.0,0.0,0.358491,0.220126,0.0,"Bald Hills (NSW)",10083
0.776049,0.254773,0.775644,84,61114.26214,0.140101,0.915745,0.303559,0.441669,0.841753,"Balgowlah",10084
0.652542,0.363281,0.633152,182,33343.55556,0.158625,0.791777,0.565755,0.070964,0.714382,"Beresfield",10182
0.764411,0.209637,0.678313,85,76588.90909,0.249968,0.928281,0.220901,0.569462,0.795411,"Balgowlah Heights",10085
